Collection Title,Institution,Library,Type of Library,Lanuages,General Format,Specific Formats,Academic Field,Subjects,Keywords,URL,Start Year,End Year,Year Range,Description,Address,Latitude,Longitude
Down to the Countryside Movement,Dartmouth College,Baker-Berry Library,Academic,Chinese,Image,"Photograph, Letter, Video, Manuscript, Diary",Politics,"Political History, Education",Rural China ,https://www.dartmouth.edu/library/digital/collections/manuscripts/rusticated-youth/index.html,1968,1978,1968-1978,"Since 2016, the Dartmouth Library has been collecting original materials from the rustication period including diaries, letters, photographs, and artifacts. These materials include participants' first-hand accounts reflecting on their experiences, shifting their perspectives, and recalling their living conditions during rustication. The Library is digitizing these collections in order to transform the physical primary resources into an accessible digital collection open to all, and to promote international research on this important historic event.","Valley Road, Rivercrest, Hanover, Grafton County, New Hampshire, 03755, United States of America",43.7053972,-72.2909333
Sino-Vet Ritual Texts,Dartmouth College,Baker-Berry Library,Academic,Chinese,Text,"Illustration, Manuscript",Religion,Medieval China ,"Death, Healing, Natural Disaster",https://www.dartmouth.edu/library/digital/collections/manuscripts/sino-viet/index.html,1924,2020,1924-2020,"These three unique manuscripts of rituals in classical Chinese and Vietnamese Nom are traceable to medieval China. One of the manuscripts can be dated to 1924. They contain practical Buddhist-Taoist rituals on death, healing and natural disasters. The manuscripts contain Chinese calligraphy from different calligraphers, colorful illustrations and inserts written in Vietnamese Nom. Their origin is unknown.","Valley Road, Rivercrest, Hanover, Grafton County, New Hampshire, 03755, United States of America",43.7053972,-72.2909333
The Papers of Charles Daniel Tenney,Dartmouth College,Baker-Berry Library,Academic,"Chinese, English",Text,"Essay, Speech",History,Religion,"Missionary, Education, Confucianism ",https://www.dartmouth.edu/library/digital/collections/manuscripts/tenney/index.html,1907,1925,1907-1925,"Dating from between 1907 and 1925 the papers of Charles Daniel Tenney include essays, speeches and translations concerning Tenney's time in China as well as his views on education, the tensions between Christian missions and Confucianism, criticism of the Chinese language and writing system, criticism of the 1911 revolution and the founding of the Chinese Republic, as well as Tenney's thoughts on the Jewish colony and tablets at Keifeng. Additionally, included is Tenney's typescript copy of Bishop George Smith's translation of the Keifeng Jewish Tablets and an address Tenney gave to Dartmouth students while he was Director of Chinese Government Students.","Valley Road, Rivercrest, Hanover, Grafton County, New Hampshire, 03755, United States of America",43.7053972,-72.2909333
Fridrich Carl Peetz Photographs Collection,Duke University,Archive of Documentary Arts,Academic,German,Image,Photograph,History,Political History,Boxer Rebellion,https://repository.duke.edu/dc/friedrichcarlpeetz,1900,1900,1900-1900,"The album probably belonged to Friedrich Carl Peetz, most likely an officer in the German Navy (Kaiserliche Marine) and crew member of the S.M.S. Hertha during the Boxer Rebellion. The images were mostly taken in Tsingtao (Qingdao), Chefoo (Yantai), Hong Kong, Peking (Beijing), and Shanhaiguan during the Boxer Rebellion in 1900. The photographs document the German involvement in the Rebellion and primarily depict damage to the Taku Forts, German ships (most are identified) and crew, and temples and other historic buildings visited by the Germans in Beijing and other locales in China.","Sumter Street, Burch Avenue, Mill Grove, Durham, Durham County, North Carolina, 27708, United States of America",36.0016257,-78.9408624
"Photographs taken by Lt. Col. Sir Percy Sykes to illustrate Chinese Turkestan, the Russian Pamirs and Osh April-November, 1915",Duke University,David M. Rubenstein Rare Book & Manuscript Library,Academic,,Image,Photograph,History,Personal Life,Landscape,https://repository.duke.edu/dc/sykespercy,1915,1915,1915-1915,"Bound photograph album containing 48 photographs taken by Sir Percy Moleworth Sykes during his travels in a mountainous region of Central Asia, now the Xinjiang Uyghur Autonomous Region of China, with his sister, Ella Sykes. Subjects include landscapes, strategic buildings such as forts and trading posts, and local Uighur, Beg, Kyrgyz, and Kazak people and their dwellings and animals, as well as British, Russian, Turkish, and Chinese people and officials. Specific locations in captions include Kashgar, the Tuman River, Yarkand, Khotan, Merkit, Bulunkul, the Pamirs, Tashkurgan, Muztagh Ata, Karakul lake, Tian Shan mountains, and Osh. ","Sumter Street, Burch Avenue, Mill Grove, Durham, Durham County, North Carolina, 27708, United States of America",36.0016257,-78.9408624
Richard Henry Gregory Papers,Duke University,David M. Rubenstein Rare Book & Manuscript Library,Academic,English,Image,"Diary, Photograph",History,Personal Life,"Travel, Countryside",https://repository.duke.edu/dc/richardhenrygregory,1905,1906,1905-1906,"Tobacconist, of Tarboro, N.C., and employee of the British-American Tobacco Company in China, 1905-1935. Diaries and photographs from Gregory's travels in China, 1905-1906, as an employee of the British-American Tobacco Company. Includes material on travels to Shanghai, Hankow, and the provinces of Honan, Hunan, Hupeh, and Kiangsi, including descriptions of the countryside and customs, and of tobacco culture in the region.","Sumter Street, Burch Avenue, Mill Grove, Durham, Durham County, North Carolina, 27708, United States of America",36.0016257,-78.9408624
Sidney D. Gamble Photographs Collection,Duke University,Archive of Documentary Arts,Academic,,Image,Photograph,History,"Urban Life, Rural Life","Economy, Agriculture, Religion",https://repository.duke.edu/dc/gamble,1908,1932,1908-1932,"The Sidney D. Gamble collection consists primarily of contact sheets, hand-colored glass slides, 35mm duplicate slides, contact prints, negatives, and other photographic formats documenting Gamble's four visits to China from 1908 to 1932. In total, there are over 5,000 unique images in the collection depicting urban and rural life, economic conditions, public events, agriculture, religious statuary, architecture, and the countryside. In addition to photographs of China, the collection contains a handful of images captured by Gamble from Japan and Korea and images captured by David Gamble in the western United States, circa 1906. ","Sumter Street, Burch Avenue, Mill Grove, Durham, Durham County, North Carolina, 27708, United States of America",36.0016257,-78.9408624
The Memory Project,Duke University,David M. Rubenstein Rare Book & Manuscript Library,Academic,Chinese,Video,Interview,History,"Personal Life, Rural History, Political History","Great Famine, Great Leap Forward, Cultural Revolution, Land Form",https://repository.duke.edu/dc/memoryproject,2009,2016,2009-2016,"The Memory Project Oral History collection comprises digital video recordings and written supporting documentation of interviews spanning 2009 to 2016. Memory Project interviews were conducted with Chinese people about mid-20th century rural life, primarily experiences during the Great Famine (1958-1961), but also the Land Reform and Collectivization (1949-1953), the Great Leap Forward (1958-1960), the Four Cleanups Movement (1964), and the Cultural Revolution (1966-1976). These filmmakers, many of whom returned to their families' rural hometowns, developed new intergenerational relationships with elderly relatives. During the process of interviewing the villagers, they reconciled the official history taught in schools with each family's experiences.","Sumter Street, Burch Avenue, Mill Grove, Durham, Durham County, North Carolina, 27708, United States of America",36.0016257,-78.9408624
Oxford College Collection of Asian Artifacts,Emory University,Emory Digital Collections,Academic,,Image,Object,Art,Religion,Missionary,https://digital.library.emory.edu/catalog/320sqv9s4v-cor,1868,1912,1868-1912,"Contains a variety of Japanese, Korean, and Chinese artifacts, most of them purchased in Kobe, Japan by William Patillo Turner while he was a member of the Japan Mission of the United Methodist Church, South.","Emory Drive Northeast, Emory Highlands, Oakhurst, North Decatur, DeKalb County, Georgia, 30307, United States of America",33.7866548,-84.3187936
Weibo Archive for China's Anti-Corruption Campaign,George Washington University,GW Libraries; Global Resources Center,Academic,Chinese,Dataset,Tweet,Politics,Government ,Corruption ,https://libguides.gwu.edu/c.php?g=637999&p=4466501,2016,2020,2016-2020,"The weibo archive collection contains a data set of tweets collected from the Weibo microblogging platform about China's anti-corruption campaign, a major political movement launched by the Chinese President Xi Jinping right after he was named after General Secretary of the CPC in November 2012. This Collection collected tweets relating to the nonofficial voices on anti-corruption campaign since July 2016.","21st Street Northwest, Washington, D.C., 20052, United States of America",38.8992362,-77.0505428
Bao Juan Colletion,Harvard University,Harvard-Yenching Library,Academic,Chinese,Image,Rare Book,Literature,Religion,"Folk Practice, Religious Practice",https://projects.iq.harvard.edu/yenchinglib/galleries/bao-juan%EF%BC%88%E5%AF%B6%E5%8D%B7%EF%BC%89-collection,1368,1644,1368-1644,"87 titles of Bao Juan in Harvard-Yenching library rare collections are being digitized. Among them, 74 titles are from the Hanan collection, 7 titles are in Ming dynasty.","Kelley Street, Old Cambridge, Cambridge, Middlesex County, Massachusetts, 02140, United States of America",42.3775778,-71.1160202
Chinese Republican Period (1911-1949) Collection,Harvard University,Harvard-Yenching Library,Academic,Chinese,Image,Rare Book,Literature,Political History,Chinese Republican Period,https://projects.iq.harvard.edu/yenchinglib/node/534746,1900,1956,1900-1956,Rare books published in Republic of China.,"Kelley Street, Old Cambridge, Cambridge, Middlesex County, Massachusetts, 02140, United States of America",42.3775778,-71.1160202
Edwards Bangs Drew Chinese Maritime Customs Service Photographs,Harvard University,Harvard-Yenching Library,Academic,,Image,Photograph,History,Personal Life,Edward Bangs Drew,https://library.harvard.edu/collections/edwards-bangs-drew-chinese-maritime-customs-service-photographs,1800,1992,1800-1992,"Photographs collected by Edwards Bangs Drew that document clothing, customs, and daily life in 19th century China, as well as Drew's life and career, including family and social gatherings, public appearances, and events and ceremonies.","Kelley Street, Old Cambridge, Cambridge, Middlesex County, Massachusetts, 02140, United States of America",42.3775778,-71.1160202
Gaochao Ben Digitization Project,Harvard University,Harvard-Yenching Library,Academic,Chinese,Image,Rare Book,History,Literature ,Scholarship,https://projects.iq.harvard.edu/yenchinglib/galleries/t-%E5%93%88%E4%BD%9B%E7%87%95%E4%BA%AC%E5%9B%BE%E4%B9%A6%E9%A6%86%E4%B8%AD%E6%96%87%E5%96%84%E6%9C%AC%E7%89%B9%E8%97%8F%E7%A8%BF%E9%92%9E%E6%9C%AC%E9%80%89%E8%BE%91,-500,1900,-500-1900,1138 publications (over 1800 volumes). Most of them are government reports.,"Kelley Street, Old Cambridge, Cambridge, Middlesex County, Massachusetts, 02140, United States of America",42.3775778,-71.1160202
Harvard East Asian Monograph Series,Harvard University,Harvard University-Reischauer Institute,Academic,"Chinese, English",Text,Monograph,Literature,"History, Politcal History, Economic History",Scholarship,https://www.hup.harvard.edu/collection.php?cpk=1018,1956,2021,1956-2021,The Harvard East Asian Monographs Series was initiated in 1956 and now totals over 400 published titles. The page includes abstract and table of contents for selected books.,"Kelley Street, Old Cambridge, Cambridge, Middlesex County, Massachusetts, 02140, United States of America",42.3775778,-71.1160202
Harvard-Yenching Library Digital Maps,Harvard University,Harvard-Yenching Library,Academic,Chinese,Image,Map,Georgraphy,Administrative,"Military, Commercial ",https://library.harvard.edu/collections/harvard-yenching-library-digital-maps,1800,1999,1800-1999,"Harvard-Yenching Library holds hundreds of maps of China, Japan, Korea, and other regions of East Asia. Many of which were published in the 19th and 20th centuries, but some can be dated to earlier periods.","Kelley Street, Old Cambridge, Cambridge, Middlesex County, Massachusetts, 02140, United States of America",42.3775778,-71.1160202
Hedda Morrison Photographs of China,Harvard University,Harvard-Yenching Library,Academic,,Image,Photograph,History,"Religion, Architecture","Lifestyle, Hedda Morris",https://library.harvard.edu/collections/hedda-morrison-photographs-china,1933,1946,1933-1946,"More than 5,000 photographs taken by Hedda Hammer Morrison (1908-1991) during her residence in Beijing from 1933 to 1946. Her photographs document lifestyles, trades, handicrafts, landscapes, religious practices and architectual structures","Kelley Street, Old Cambridge, Cambridge, Middlesex County, Massachusetts, 02140, United States of America",42.3775778,-71.1160202
Manchu Rare Books,Harvard University,Harvard-Yenching Library,Academic,Chinese,Image,Rare Book,Literature,History ,Language,https://projects.iq.harvard.edu/yenchinglib/galleries/manchu-rare-books-%E6%BB%BF%E6%96%87,1610,1900,1610-1900,A collection of Manchu Rare Books from 1610-1900. ,"Kelley Street, Old Cambridge, Cambridge, Middlesex County, Massachusetts, 02140, United States of America",42.3775778,-71.1160202
Mongolian Rare Books,Harvard University,Harvard-Yenching Library,Academic,Chinese,Images,Rare Book,Literature,History,Mongolian,https://projects.iq.harvard.edu/yenchinglib/galleries/mongolian-rare-rooks-%E8%92%99%E6%96%87,-500,1940,-500-1940,A collection of Mongolian Rare Books from -500 to 1940. ,"Kelley Street, Old Cambridge, Cambridge, Middlesex County, Massachusetts, 02140, United States of America",42.3775778,-71.1160202
Naxi Manuscripts,Harvard University,Harvard-Yenching Library,Academic,Chinese ,Image,Manuscript,Religion,Daily Life,Naxi,https://library.harvard.edu/collections/naxi-manuscripts,1826,1910,1826-1910,"Collection of pictographic manuscripts, includes 598 ceremonial manuscripts and 3 funereal scrolls written in a pictographic script, used in performing religious rituals by the Naxi community","Kelley Street, Old Cambridge, Cambridge, Middlesex County, Massachusetts, 02140, United States of America",42.3775778,-71.1160202
Personal Collection of Prof. Patrick Hanan,Harvard University,Harvard-Yenching Library,Academic,Chinese,Image,Rare Book,Art,Personal Life,Patrick Hanan,https://projects.iq.harvard.edu/yenchinglib/galleries/personal-collection-prof-patrick-hanan-1927-2014-%E9%9F%A9%E5%8D%97%E6%95%99%E6%8E%88%E8%97%8F%E4%B9%A6,1500,1940,1500-1940,Prof. Patrick Hanan's personal collection of rare Chinese books spaning from 1500 to 1940. ,"Kelley Street, Old Cambridge, Cambridge, Middlesex County, Massachusetts, 02140, United States of America",42.3775778,-71.1160202
The Chinese Rubbings Collection,Harvard University,"Fine Arts Library, Harvard-Yenching Library",Academic,,Image,Rubbing ,Art,,"Qin Dynasty, Ming Dynasty ",http://vc.lib.harvard.edu/vc/deliver/home?_collection=rubbings,-221,1644,-221-1644,"1067 full- image reproductions of Chinese rubbings, made from ancient stone stelae, tomb tablets, Buddhist and Daoist scriptures on stelae and rocks in the late 19th and early 20th centuries.","Kelley Street, Old Cambridge, Cambridge, Middlesex County, Massachusetts, 02140, United States of America",42.3775778,-71.1160202
"The Rev. Claude L. Pickens, Jr. Collection on Muslims in China",Harvard University,Harvard-Yenching Library,Academic,"Chinese, English",Image,"Diary, Photograph",History,Religion,Missionary,https://projects.iq.harvard.edu/yenchinglib/galleries/rev-claude-l-pickens-jr-collection-muslims-china,1858,1984,1858-1984,"Over 1000 photos of Muslims and Christian missionaries working in Western China in the 1920s and 1930s. The collection also includes a series of notebooks in which Pickens compiled an unpublished biographical dictionary of Muslims in China.

","Kelley Street, Old Cambridge, Cambridge, Middlesex County, Massachusetts, 02140, United States of America",42.3775778,-71.1160202
"Editorial Cartoons of J.N. ""Ding"" Darling",Iowa University,Iowa Digital Library,Academic,English,Image,Cartoon,Politics,History,"Foreign Relations, Economic History ",https://digital.lib.uiowa.edu/islandora/search/Chinese?type=edismax&islandora_solr_search_navigation=0&f%5B0%5D=RELS_EXT_isMemberOfCollection_uri_ms%3A%22info%5C%3Afedora%5C/ui%5C%3Ading%22,1900,1950,1900-1950,Editorial/Cartoon drawings featuring East Asian themes and subject matter.,"125 W Washington St, Iowa City, IA 52242",41.6598126,-91.5406386
Henry A. Wallace Collection,Iowa University,Iowa Digital Library,Academic,,Image,Photograph ,History,Daily Life,Women,https://digital.lib.uiowa.edu/islandora/search/Chinese?type=edismax&islandora_solr_search_navigation=0&f%5B0%5D=RELS_EXT_isMemberOfCollection_uri_ms%3A%22info%5C%3Afedora%5C/ui%5C%3Awallace%22,1940,1950,1940-1950,A collection of photographs of every day life in China spanning from 1940 to 1950. ,"125 W Washington St, Iowa City, IA 52242",41.6598126,-91.5406386
Iowa City Foreign Relations Council Presentations,Iowa University,Iowa Digital Library,Academic,English,Video,Lecture ,Overseas Chinese,History,Foreign Relations ,https://digital.lib.uiowa.edu/islandora/search/Chinese?type=edismax&islandora_solr_search_navigation=0&f%5B0%5D=RELS_EXT_isMemberOfCollection_uri_ms%3A%22info%5C%3Afedora%5C/ui%5C%3Aicfrc%22,2010,2020,2010-2020,"Since 2007, the University of Iowa has actively recruited international students and the results are reflected most dramatically in the growth of the undergraduate population from the People's Republic of China. A growing international presence on campus is heralded as promoting values of diversity, tolerance and global understanding, but as with all change, its opportunities are welcomed and built upon in some quarters and missed or misunderstood in others. Judy Polumbaum attempts to place these developments in historical context and examines Iowa's experience in terms of current national and international trends.","125 W Washington St, Iowa City, IA 52242",41.6598126,-91.5406386
Stanley Museum of Digital Art Collection,Iowa University,Iowa Digital Library,Academic,,Image,"Drawing, Object",Art,Culture,Decorative Art,https://digital.lib.uiowa.edu/islandora/search/Chinese?type=edismax&islandora_solr_search_navigation=0&f%5B0%5D=RELS_EXT_isMemberOfCollection_uri_ms%3A%22info%5C%3Afedora%5C/ui%5C%3Auima%22,1300,1999,"1300s, 1600s, 1900s","Examples of Chinese art across a wide period of timel; featuring prints, objects made of nepherite, etc.","125 W Washington St, Iowa City, IA 52242",41.6598126,-91.5406386
University of Iowa School of Music Recording Archive,Iowa University,Iowa Digital Library,Academic,,Sound ,Program,Music,,,https://digital.lib.uiowa.edu/islandora/search/Chinese?type=edismax&islandora_solr_search_navigation=0&f%5B0%5D=RELS_EXT_isMemberOfCollection_uri_ms%3A%22info%5C%3Afedora%5C/ui%5C%3Aias%22,1937,2011,1937-2011,Collection of recital programs featuring East Asian music and inspired performances.,"125 W Washington St, Iowa City, IA 52242",41.6598126,-91.5406386
Virtual Writing University Archive,Iowa University,Iowa Digital Library,Academic,Chinese,Sound ,Lecture ,Literature,Art,Scholarship,https://digital.lib.uiowa.edu/islandora/search/Chinese?type=edismax&islandora_solr_search_navigation=0&f%5B0%5D=RELS_EXT_isMemberOfCollection_uri_ms%3A%22info%5C%3Afedora%5C/ui%5C%3Avwu%22,1980,2010,1980-2010,Videos of literature being read/translated into Chinese.,"125 W Washington St, Iowa City, IA 52242",41.6598126,-91.5406386
Chinese Public Health Campaign Slides 1950s -1970s,Johns Hopkins University,Sheridan Libraries,Academic,Chinese,Image,Cartoon,History,Science,Public Health,https://library.artstor.org/#/collection/87732362,1950,1979,1950s-1970s,"This collection consists of 415 educational public health campaign slides within 22 discrete sets that were produced in mainland China from the 1950s -1970s. Educational slides played an important role in the history of public health campaigns in China during this period. Because slides were inexpensive to produce and easy to disseminate, they were the favored tool of propaganda and public education. These public health campaign slides aimed at educating the public about basic scientific concepts, major disease prevention, and healthful behavior, covering a wide range of topics that are grouped under the following five themes: infectious diseases, environment and heath, personal hygiene, the health of children, and non public-health topics. Specific subjects include whooping cough, preventing tuberculosis, and improving factory hygiene.","3400 N Charles St, Baltimore, MD 21218",39.32891346,-76.61947649
Chinese Social Media and the Anti-Corruption Campaign (2012-),Johns Hopkins University,Sheridan Libraries,Academic,Chinese,Text,Digital Archive,Politics,Poltical History,Foreign Relations ,https://www.archive-it.org/collections/6314,2012,2021,2012-2021,"This archive is part of a collaborative web archiving project by Johns Hopkins University, George Washington University, and Georgetown University. It is funded by the Mellon Foundation-Council on East Asian Libraries Innovation Grants for East Asian Librarians. The goal of the project is to preserve Chinese blogs and micro-blogs related to the ongoing Chinese Anti-Corruption Campaign (2012-).","3400 N Charles St, Baltimore, MD 21218",39.32891346,-76.61947649
Aranow Collection: 1981 Tour of China,Johns Hopkins University,Sheridan Libraries,Academic,,Image,Photograph,History,Political History,"Foreign Relations, Ruth Aranow",https://library.artstor.org/#/collection/100052907,1981,1981,1981-1981,"Photographs taken and collected by Johns Hopkins University’s Ruth Aranow during a 1981 Tour of China organized by Inter-Pacific Travel. The date of this trip is notable as the US and China reestablished diplomatic relations in 1979. When viewing this collection, it is recommended to sort by title.","3400 N Charles St, Baltimore, MD 21218",39.32891346,-76.61947649
Gerald & Rella Warner Manchuria Negative Collection,Lafayette College,The East Asia Image Collection,Academic,,Image,Photograph,History,Architecture,"Russo-Japanese War, Gerald Warner",https://ldr.lafayette.edu/collections/warner-negs-manchuria,1933,1935,1933-1935,"US Vice Consul to Mukden (Shenyang) Gerald Warner created these 298 photographs between March 22, 1934 and August 2, 1935. Noteworthy are images of a parade for the 30th Anniversary of the Russo-Japanese War, complete with floats, Japanese revelers in Russian costumes, and crowds celebrating victory. Pictures from Manzhouli, with its mixture of Russian, Manchu and Chinese architecture, are also prominent. The North Manchuria Railway, the Zhaoling and Fuling Mausoleum complexes, Shisheng Temple, life in Shenyang's old and new quarters, and several other topics--from coal mines to military drills--are also depicted.","710 Sullivan Rd, Easton, PA 18042",40.6985756,-75.2116403
Gerald & Rella Warner Souvenirs of Beijing and Tokyo,Lafayette College,The East Asia Image Collection,Academic,,Images,"Lithographs, Postcard",Culture,Architecture ,"Postcard, Gerald Warner ",https://ldr.lafayette.edu/collections/warner-souvenirs,1928,1952,1928-1952,"These sixty-one hand-colored b/w prints and lithographed postcards were collected by Gerald and Rella Warner during State Department postings in China (January 1932 to August 1935) and Japan (July 1948 to June 1950). Included are forty commercial photographs and twelve postcards of tourist sites in Beijing from the ""Nanjing Decade"" (1928-1937), when Beijing was also known as ""Peiping."" Also included are eight photos of landmarks in Tokyo during the period of U.S. Occupation (1945-1952).","710 Sullivan Rd, Easton, PA 18042",40.6985756,-75.2116403
Lin Chia-feng Family Postcard,Lafayette College,The East Asia Image Collection,Academic,Chinese,Image,Postcard,History,"Architecture, Tourism, Governance ","Colonial-Era, Monument",https://ldr.lafayette.edu/collections/z890rv461,1900,1945,1900-1945,"The Lin Chia-feng Family Postcard Collection contains 370 colonial-era postcards (1900-1945) from Taiwan, Japan, Korea and China. Industry, tourism, colonial governance, monuments, festivals, and public works are prominent themes. Noteworthy sets include: ""Famous Places of Niigata"", ""Commemorative Postcards of the Yilan Waterworks"", ""Japanese Police Inspection of Canton"", ""The Ancient Ruins of Gyeongju"", ""40 years of Colonial Rule in Taiwan Commemorative Exhibition"", ""Yamagata Aquarium"" and ""Luodong Timber Industry.""","710 Sullivan Rd, Easton, PA 18042",40.6985756,-75.2116403
Scenic Taiwan Book,Lafayette College,The East Asia Image Collection,Academic,Chinese,Image ,Photograph ,Culture,Architecture ,Japanese Empire,https://ldr.lafayette.edu/collections/cpw-nofuko,1930,1940,1930-1940,"Taiwan no f?k?' (Scenic Taiwan) ?????is one of many photo albums published in the 1930s that depict different areas of the Japanese Empire. This particular volume was published in Wakayama Prefecture in or after 1938, though it appeared in a less censored form in 1934.","710 Sullivan Rd, Easton, PA 18042",40.6985756,-75.2116403
Taiwan Photographic Monthly Periodical,Lafayette College,The East Asia Image Collection,Academic,Chinese,Image,"Photograph, Periodical",Culture,Architecture ,Taiwan,https://ldr.lafayette.edu/collections/cpw-shashinkai,1914,1915,1914-1915,"The Taiwan shashinch? ????? (Taiwan Photograph Album) was published monthly from November 1914 through December 1915, for a total of 14 issues. The 468 pages captured for this collection include reprints of photographs from other Japanese publications, and many unique photographs.","710 Sullivan Rd, Easton, PA 18042",40.6985756,-75.2116403
